-52.667,-50,-48.867,-48.375,-50.5,-52.5,-50.833,-49.792,-49.597,-51.083,-54.5,-52.216,-49.933,-48.667,-52.032,-56.8,-53.767,-50.133,-48,-52.721,-55.207,-53.588,-51.471,-49.056,-52.5,-52.9,-53.609,-52.333,-50,-50.55,-53.556,-49.956,-49.2,-52.75,-59.472,-60.889,-58,-54,-52.381,-55.889,-54.267,-54.133,-55.333,-56.533,-60.791,-62.578,-58.286,-53.277,-51.909,-55.121,-58.764,-56.879,-56.273,-56.273,-58.726,-59.633,-58.639,-60.346,-59.382,-58.423,-57.547,-56.1,-53.7,-54.3,-57.9,-57,-53.4,-52.303,-53.65,-56.957,-59.721,-59.228,-57.967,-56.258,-58.704,-60.966,-60.8,-60.267,-59.188,-58.333,-58.875
-52.157,-50.231,-48.667,-48,-50.5,-52.1,-51.125,-49.771,-49.354,-50.5,-54.5,-51.695,-49.444,-48,-53.357,-53.844,-54.874,-52.733,-48,-50.837,-51.188,-51.537,-50.406,-49,-51.5,-54.468,-53.465,-51.679,-50,-50.4,-53.556,-49.956,-52.14,-55.047,-57.641,-58.474,-57.989,-53.71,-52.095,-55.278,-54.6,-52.415,-50.472,-52.906,-58.324,-61.438,-54.585,-51.862,-53.116,-56.777,-58.743,-56.995,-54.44,-54.814,-58.729,-59.633,-58.536,-60.174,-58.684,-56.65,-55.324,-54.103,-52.881,-53.324,-56.883,-60.341,-56.719,-53.119,-52.658,-53.909,-55.092,-58.335,-59.125,-57.125,-58.08,-61.333,-61,-60.667,-59.25,-58.333,-59.167
-52.022,-50.822,-48.732,-48.5,-50.5,-52.1,-51,-49.417,-49.083,-51.714,-54,-52.333,-50.333,-48.991,-51,-56.3,-52.248,-49.583,-47.75,-51.471,-54.625,-52.125,-50.273,-49.435,-51.5,-54,-52.091,-50.25,-49.122,-49.63,-52.889,-49.822,-49.2,-49.75,-54.167,-55.595,-53.5,-53.5,-51.581,-54.996,-54.6,-52.088,-50.029,-52.465,-58.074,-61.611,-54.323,-51.358,-52.895,-55.788,-58.182,-56.109,-54.04,-55.05,-58.975,-59.633,-58.536,-60.15,-58.044,-56.231,-55.065,-53.917,-52.769,-53.345,-57.845,-59.164,-55.77,-52.437,-51.876,-52.938,-54.083,-57.85,-58.518,-55.129,-56.75,-60.75,-57.458,-56.558,-56.385,-57.333,-59
-51.822,-50.822,-49.74,-48.521,-50.512,-52.1,-51,-49.364,-48.897,-49.333,-51.833,-51.788,-50.024,-49.32,-51,-54.782,-51.706,-48.8,-47,-49.5,-54.364,-51.673,-50.018,-49.571,-51.937,-54,-51.6,-49.75,-48.634,-49.422,-52.222,-51.333,-49.333,-49.75,-53.5,-54.786,-52.136,-51.045,-52.494,-54.931,-54.698,-52.483,-49.828,-52.167,-57.84,-62.286,-54.25,-51.25,-52.588,-55.373,-57.273,-55.143,-53.429,-54.944,-57.275,-59.258,-56.652,-58.217,-58.3,-56.213,-55.065,-53.917,-52.769,-53.345,-55.175,-54.775,-54.375,-51.632,-51.08,-52.207,-53.333,-57.6,-58.518,-55.129,-56.4,-60.125,-59.419,-59.6,-58.317,-56.872,-59
-52.121,-50.278,-48.507,-48.1,-50.333,-51.867,-51,-49,-48.818,-49.348,-50.9,-51.838,-49.851,-48,-50.5,-53.898,-51.571,-48.963,-47.111,-51.727,-54.364,-51.673,-50.018,-49.204,-51.5,-54,-51.6,-49.275,-48.236,-49.378,-51.778,-49.511,-49.111,-50.822,-55.5,-57.7,-55.5,-51.7,-50.875,-52.811,-54.681,-51.605,-49.051,-49.75,-54.294,-60.462,-53.5,-49.895,-51.591,-54.471,-56.971,-55.6,-53.538,-54.824,-56.844,-57.673,-55.127,-56.75,-57.05,-55.255,-54.276,-53.297,-52.317,-52.515,-52.91,-52.722,-52.533,-51.345,-51.08,-52.207,-53,-53.211,-52.833,-53.333,-56.667,-60.625,-59.319,-58.014,-55.631,-55.519,-57.5
-51.333,-51.111,-49.444,-47.698,-48.639,-51.083,-51.575,-49.111,-49,-51.364,-51.438,-51.385,-49.083,-48,-50.286,-52.556,-50.556,-47.667,-47.852,-51.63,-52.963,-51.6,-49.139,-48.293,-51.14,-53.5,-51.46,-49.2,-48.444,-50.385,-51.889,-49.889,-47.889,-48.487,-53.104,-54.82,-49.7,-48.5,-49.66,-51.778,-53.944,-49.59,-47.304,-48.673,-52.879,-59.636,-54.5,-46.556,-48.806,-52.347,-52.611,-50.6,-50,-53.3,-55.513,-57.5,-53.133,-55.711,-54.647,-52.505,-51.514,-50.523,-49.532,-52.172,-55.966,-54.862,-51.862,-48.61,-49.922,-51.881,-53.335,-54.569,-53.892,-54.722,-56.984,-59.245,-57.252,-54.919,-51.143,-51.506,-56.833
-50.778,-50.778,-49.143,-48.136,-49.089,-49.889,-48.364,-46.8,-47.067,-48.4,-50,-49.164,-48.269,-48.897,-50.88,-51.6,-49.312,-47.5,-46.4,-47.2,-49.333,-49.152,-47.8,-48.4,-50.78,-52.5,-50.78,-48.661,-47.878,-49.822,-50.222,-48.036,-47,-48.2,-49.479,-48.512,-47.933,-47.333,-48.667,-50.25,-51.893,-49,-46.49,-48.4,-49.474,-49.598,-48.422,-45.862,-47.889,-49.578,-50.333,-49.933,-48.467,-49.415,-51.015,-51.148,-51.676,-52.892,-51.433,-51.601,-51.768,-51.935,-52.102,-52.269,-52.414,-52.134,-50.172,-51.203,-51.119,-51.838,-53.308,-49.693,-49.645,-49.597,-49.549,-49.594,-52.398,-54.5,-49.31,-51.913,-56.82
-49.4,-48.6,-47.894,-47.697,-48.818,-49.909,-48.616,-47.175,-46.944,-48.531,-49.725,-48.627,-47.824,-49,-50.509,-50.727,-47.527,-46.4,-46.4,-47.2,-49.333,-48.6,-47.8,-48.4,-49.7,-52.5,-50.78,-48.661,-47.12,-47.52,-49.6,-47.091,-46.545,-48.109,-51.5,-51.3,-47.7,-46.5,-48.95,-50.696,-50.494,-48.383,-45.959,-47.6,-48.667,-49.031,-46.4,-46.4,-47.429,-49.228,-49.889,-49.489,-47.222,-49.622,-50.928,-50.519,-50.661,-51.818,-49.202,-48.421,-47.64,-46.859,-46.078,-47.81,-49.821,-52.31,-48.822,-44.914,-48.154,-52.027,-52.935,-48.983,-45.428,-45.729,-46.041,-46.369,-46.539,-52.939,-46.594,-46.058,-56.9
-49.4,-48.64,-47.963,-47.696,-48.818,-49.795,-48.294,-46.608,-46.75,-48.531,-49.725,-48.475,-47.817,-49,-50.509,-50.727,-48.391,-47.055,-46.473,-48.267,-49.333,-48.933,-47.8,-48.4,-50.78,-52.5,-50.78,-48.661,-47.12,-47.52,-49.6,-46.583,-45.568,-48.1,-52.5,-52.882,-51,-47,-48.882,-50.407,-49.98,-48.216,-46.4,-50.02,-54.5,-51,-47.875,-48.125,-48.36,-49.382,-49.889,-49.574,-47.917,-48.956,-50.681,-50.374,-50.663,-51.635,-49.301,-48.562,-47.875,-47.111,-46.34,-47.248,-49.533,-52.126,-48.165,-44.068,-47.548,-51.959,-52.935,-49.292,-45.234,-45.093,-44.948,-44.729,-44.51,-47.577,-46.65,-44.867,-55.257
-49.4,-48.64,-47.963,-47.696,-48.556,-48.333,-48.111,-47.182,-46.583,-48.574,-49.75,-48.25,-47.333,-48.4,-50.08,-50.64,-49.504,-47.394,-45.778,-46.963,-49.333,-47.924,-47.438,-47.832,-49.736,-52.5,-50.78,-48.661,-47.12,-47.52,-49.6,-46.55,-45.5,-49.504,-51.606,-52.521,-50.625,-47.125,-48.742,-50.448,-49.971,-48.257,-46.4,-50.02,-56.444,-54.694,-47.753,-47.975,-48.198,-49.407,-49.841,-48.889,-46.889,-47.603,-49.6,-49.8,-49.429,-50.68,-49.509,-49.77,-50.035,-50.299,-50.548,-50.388,-50.229,-51.517,-47.862,-43.862,-47.548,-51.959,-52.774,-48.854,-44.547,-50.875,-55.337,-55.56,-54.712,-51.957,-46.489,-44.22,-50.432
